essay,Environment,Population,evolline,Replicate,Growth
2,1,1,1,1,0.265073609
2,1,1,1,2,0.244340532
2,1,1,1,3,0.380616356
2,1,1,1,4,-0.20141784
2,1,1,1,5,0.258137287
2,1,1,1,6,-0.193486954
2,1,1,1,7,0.176411434
2,1,1,1,8,0.150604848
2,1,1,1,9,0.246074743
2,1,1,1,10,0.344091803
2,1,1,1,11,0.393292277
2,2,1,1,1,-0.04370496
2,2,1,1,2,0.20197468
2,2,1,1,3,-0.152787947
2,2,1,1,4,0.305323391
2,2,1,1,5,0.333161325
2,2,1,1,6,-0.218811861
2,2,1,1,7,-0.218811861
2,2,1,1,8,0.461929561
2,2,1,1,9,-0.152787947
2,2,1,1,10,0.17835371
2,2,1,1,11,0.220561865
2,2,1,1,12,0.22465572
2,3,1,1,1,0.327292906
2,3,1,1,2,0.261956264
2,3,1,1,3,0.246918161
2,3,1,1,4,-0.193889115
2,3,1,1,5,-0.193889115
2,3,1,1,6,0.226217048
2,3,1,1,7,0.176878567
2,3,1,1,8,0.218679065
2,3,1,1,9,0.113417862
2,3,1,1,10,0.139263414
2,3,1,1,11,0.326259792
2,3,1,1,12,0.349943012
2,4,1,1,1,0.147147943
2,4,1,1,2,0.162694457
2,4,1,1,3,0.240286143
2,4,1,1,4,0.062401335
2,4,1,1,5,0.192325651
2,4,1,1,6,0.143899039
2,4,1,1,7,0.084078073
2,4,1,1,8,-0.180828467
2,4,1,1,9,0.243054372
2,4,1,1,10,0.162527834
2,4,1,1,11,0.106675786
2,4,1,1,12,-0.106675786
2,5,1,1,1,0.202231326
2,5,1,1,3,0.376597276
2,5,1,1,4,0.050963496
2,5,1,1,5,-0.218524329
2,5,1,1,6,-0.196779543
2,5,1,1,7,0.349926716
2,5,1,1,8,-0.196779543
2,5,1,1,9,0.196779543
2,5,1,1,10,0.311949451
2,5,1,1,11,0.305739891
2,5,1,1,12,0.229633666
2,6,1,1,1,0.160520968
2,6,1,1,2,0.085527819
2,6,1,1,3,0.021881978
2,6,1,1,4,-0.037750199
2,6,1,1,5,0.130685262
2,6,1,1,6,0.036777892
2,6,1,1,7,-0.146210773
2,6,1,1,8,0.287418439
2,6,1,1,9,0.248916399
2,6,1,1,10,0.085527819
2,6,1,1,11,0.028763253
2,6,1,1,12,-0.059632178
2,7,1,1,1,0.117488569
2,7,1,1,2,0.168899265
2,7,1,1,3,0.123750926
2,7,1,1,4,0.036171862
2,7,1,1,5,0.055185856
2,7,1,1,6,0.055185856
2,7,1,1,7,-0.10521442
2,7,1,1,8,0.217494926
2,7,1,1,9,-0.179704217
2,7,1,1,10,0.06154649
2,7,1,1,11,0.145254849
2,7,1,1,12,0.083050413
2,8,1,1,1,0.148539947
2,8,1,1,2,0.100246565
2,8,1,1,3,-0.170153885
2,8,1,1,4,-0.182462889
2,8,1,1,5,0.148539947
2,8,1,1,6,-0.144972719
2,8,1,1,7,0.195197474
2,8,1,1,8,-0.144972719
2,8,1,1,9,-0.182462889
2,8,1,1,10,-0.170153885
2,8,1,1,11,0.163982908
2,8,1,1,12,-0.182462889
2,1,2,1,1,0.2630149
2,1,2,1,2,0.176141192
2,1,2,1,3,0.246074743
2,1,2,1,4,0.216555324
2,1,2,1,5,0.150604848
2,1,2,1,6,0.202870776
2,1,2,1,7,-0.216880843
2,1,2,1,8,0.225341666
2,1,2,1,9,0.331106259
2,1,2,1,10,0.38256824
2,1,2,1,11,0.199805323
2,1,2,1,12,0.41828959
2,2,2,1,1,0.051173505
2,2,2,1,2,0.344228962
2,2,2,1,3,-0.087625215
2,2,2,1,4,0
2,2,2,1,5,0.199377631
2,2,2,1,6,-0.218811861
2,2,2,1,7,0.248982479
2,2,2,1,8,0.206516522
2,2,2,1,9,0.317008901
2,2,2,1,10,0.128930209
2,2,2,1,11,0.153846212
2,2,2,1,12,0.311100198
2,3,2,1,1,0.199528673
2,3,2,1,2,0.29728321
2,3,2,1,3,0.281875863
2,3,2,1,4,-0.048495659
2,3,2,1,5,-0.21653514
2,3,2,1,6,-0.086110811
2,3,2,1,7,-0.150414339
2,3,2,1,8,-0.193889115
2,3,2,1,9,0.282657376
2,3,2,1,10,-0.21653514
2,3,2,1,11,0.113417862
2,3,2,1,12,0.400384142
2,4,2,1,1,0.232314623
2,4,2,1,3,0.086632843
2,4,2,1,4,0.122560884
2,4,2,1,5,-0.092424484
2,4,2,1,6,-0.106675786
2,4,2,1,7,-0.095440531
2,4,2,1,8,0
2,4,2,1,9,-0.180828467
2,4,2,1,10,0.143732415
2,4,2,1,11,-0.058383902
2,4,2,1,12,0.086632843
2,5,2,1,1,0.305739891
2,5,2,1,2,-0.218524329
2,5,2,1,3,-0.196779543
